Date;Open;High;Low;Close;Volume
04/16/2026;14.63;14.63;14.63;14.63;100
04/15/2026;13.98;13.98;13.98;13.98;220
04/14/2026;14.3885;14.3885;14.3885;14.3885;1,000
04/13/2026;13.8484;13.8484;13.8484;13.8484;0
04/10/2026;13.985;13.985;13.8484;13.8484;1,032
04/09/2026;13.825;13.825;13.825;13.825;11,184
04/08/2026;13.82;13.9956;13.724;13.9956;2,857
04/07/2026;13.4564;13.4564;13.4564;13.4564;0
04/06/2026;13.415;13.4564;13.415;13.4564;451
04/02/2026;13.232;13.232;12.98;12.98;112,203
04/01/2026;13.15;13.3;13.15;13.3;4,761
03/31/2026;12.63;12.63;12.63;12.63;0
03/30/2026;12.736;12.756;12.63;12.63;857
03/27/2026;12.62;12.62;12.26;12.26;696
03/26/2026;14.63;14.63;14.63;14.63;0
03/25/2026;14.63;14.63;14.63;14.63;0
03/24/2026;14.65;14.69;14.63;14.63;1,961
03/23/2026;14.8;14.8;14.8;14.8;0
03/20/2026;14.8;14.8;14.8;14.8;0
03/19/2026;14.8;14.8;14.8;14.8;1,293
03/18/2026;15.066;15.066;15.066;15.066;0
03/17/2026;15.362;15.362;15.066;15.066;1,019
03/16/2026;14.886;14.886;14.886;14.886;0
03/13/2026;14.886;14.886;14.886;14.886;194
03/12/2026;15.61;15.61;15.61;15.61;0
03/11/2026;15.61;15.61;15.61;15.61;140
03/10/2026;14.988;14.988;14.988;14.988;0
03/09/2026;14.723;14.988;14.723;14.988;308
03/06/2026;15.307;15.307;15.307;15.307;144
03/05/2026;14.9;14.9;14.9;14.9;85,794
03/04/2026;14.976;14.976;14.976;14.976;0
03/03/2026;15;15;14.976;14.976;3,695
03/02/2026;15.97;15.97;15.97;15.97;38,110
02/27/2026;16.34;16.34;16.34;16.34;5,440
02/26/2026;16.06;16.25;16.06;16.128;1,294
02/25/2026;16.0525;16.0525;16.0525;16.0525;294
02/24/2026;16.062;16.062;15.92;15.92;633
02/23/2026;15.846;15.846;15.846;15.846;0
02/20/2026;15.846;15.846;15.846;15.846;0
02/19/2026;15.846;15.846;15.846;15.846;280
02/18/2026;15.61;15.61;15.61;15.61;431
02/17/2026;15.875;16.014;15.875;16.014;1,797
02/13/2026;15.922;15.922;15.922;15.922;221
02/12/2026;16.39;16.39;16.39;16.39;164
02/11/2026;15.92;15.92;15.92;15.92;200
02/10/2026;16.032;16.032;16.032;16.032;141
02/09/2026;16.026;16.026;15.866;15.866;297
02/06/2026;16.228;16.228;16.228;16.228;102
02/05/2026;15.47;15.6935;15.47;15.6935;448
02/04/2026;16.83;16.83;16.4;16.4;13,589
02/03/2026;16.1925;16.1925;16.1925;16.1925;178
02/02/2026;15.88;15.88;15.88;15.88;0
01/30/2026;16.0313;16.0313;15.88;15.88;13,024
01/29/2026;16.026;16.026;16.026;16.026;0
01/28/2026;16.15;16.15;16.026;16.026;1,377
01/27/2026;16.214;16.214;16.214;16.214;0
01/26/2026;16.214;16.214;16.214;16.214;117
01/23/2026;15.77;15.77;15.534;15.534;1,365
01/22/2026;15.778;15.778;15.56;15.56;381
01/21/2026;15.02;15.542;15.02;15.542;881
01/20/2026;14.89;15.42;14.89;15.096;1,528
01/16/2026;15.34;15.486;15.144;15.144;1,333
01/15/2026;14.72;14.72;14.72;14.72;0
01/14/2026;14.72;14.72;14.72;14.72;0
01/13/2026;14.72;14.72;14.72;14.72;0
01/12/2026;14.72;14.72;14.72;14.72;0
01/09/2026;14.664;14.72;14.664;14.72;2,012
01/08/2026;14.742;14.742;14.742;14.742;0
01/07/2026;14.742;14.742;14.742;14.742;1,677
01/06/2026;15.076;15.076;15.076;15.076;0
01/05/2026;15.076;15.076;15.076;15.076;212
01/02/2026;14.544;14.544;14.544;14.544;226
12/31/2025;14.98;14.98;14.98;14.98;0
12/30/2025;14.98;14.98;14.98;14.98;30,100
12/29/2025;14.744;14.786;14.27;14.786;1,328
12/26/2025;14.36;14.36;14.36;14.36;276
12/24/2025;14.784;14.784;14.784;14.784;0
12/23/2025;14.784;14.784;14.784;14.784;110
12/22/2025;14.35;14.582;14.212;14.212;50,808
12/19/2025;14.345;14.345;14.345;14.345;11,410
